17:46:41 18.09.2020;-0,4375;-2,125;-1,0625;-0,8125;-0,9375;-1,25;-1;-0,3125;-2,5625;-0,75;-1,9375;-2,75;-2,25;-0,8125;-1,8125;-3,3125;-5,375;-3,625;-5,0625;-6,0625;-5,0625;-3,625;-5,3125;-6
17:47:21 18.09.2020;-0,75;-2,75;-1,625;-1;-1,1875;-1,75;-1,375;-0,5625;-3,125;-1,3125;-2,5;-3,375;-2,8125;-1,4375;-2,375;-3,9375;-5,875;-4;-5,625;-6,6875;-5,5;-4;-5,8125;-6,5625
17:48:01 18.09.2020;-1;-3,3125;-2,0625;-1,4375;-1,5;-2,25;-1,75;-0,9375;-3,5;-1,8125;-3;-3,875;-3,25;-1,9375;-2,875;-4,4375;-6,375;-4,375;-6,125;-7,125;-6;-4,3125;-6,375;-7,0625
17:48:41 18.09.2020;-1,25;-3,6875;-2,5625;-1,8125;-1,8125;-2,6875;-2,1875;-1,375;-3,9375;-2,25;-3,5;-4,375;-3,75;-2,375;-3,375;-5;-6,75;-4,6875;-6,4375;-7,4375;-6,25;-4,5625;-6,625;-7,25
17:49:21 18.09.2020;-1,5625;-4,0625;-3,0625;-2,0625;-2,125;-3,0625;-2,625;-1,625;-4,1875;-2,6875;-3,8125;-4,75;-4;-2,75;-3,6875;-5,25;-7;-5,0625;-6,8125;-7,875;-6,625;-4,875;-7;-7,75
17:50:01 18.09.2020;-1,875;-4,25;-3,5625;-2,3125;-2,5;-3,375;-3;-1,875;-4,4375;-3,125;-4,125;-5,125;-4,1875;-3,1875;-3,9375;-5,5625;-7,3125;-5,3125;-7;-8,125;-6,875;-5,125;-7,25;-8,0625
17:50:41 18.09.2020;-2,1875;-4,4375;-3,8125;-2,4375;-2,75;-3,625;-3,3125;-2,125;-4,625;-3,4375;-4,4375;-5,3125;-4,375;-3,5;-4,125;-5,8125;-7,5625;-5,5625;-7,25;-8,375;-7,1875;-5,4375;-7,5;-8,3125
17:51:21 18.09.2020;-2,5;-4,6875;-4,0625;-2,75;-3;-3,9375;-3,5625;-2,375;-4,8125;-3,6875;-4,6875;-5,5;-4,5625;-3,75;-4,3125;-6;-7,8125;-5,875;-7,4375;-8,625;-7,375;-5,625;-7,6875;-8,5625
17:52:01 18.09.2020;-2,75;-4,8125;-4,375;-3;-3,1875;-4,0625;-3,8125;-2,6875;-5;-3,9375;-4,875;-5,6875;-4,75;-4;-4,5;-6,1875;-8,0625;-6,125;-7,6875;-9;-7,625;-5,875;-7,9375;-8,9375
17:52:41 18.09.2020;-3;-5;-4,5625;-3,125;-3,4375;-4,1875;-4;-2,8125;-5,0625;-4,125;-4,9375;-5,875;-4,8125;-4,1875;-4,5625;-6,25;-8,375;-6,5;-7,875;-9,3125;-7,875;-6,25;-8,125;-9,25
17:53:21 18.09.2020;-3,25;-5,125;-4,6875;-3,3125;-3,625;-4,375;-4,1875;-3,0625;-5,25;-4,3125;-5,125;-6,0625;-5;-4,4375;-4,6875;-6,4375;-8,4375;-6,75;-8;-9,5;-8;-6,5;-8,25;-9,4375
17:54:01 18.09.2020;-3,4375;-5,25;-4,8125;-3,5;-3,8125;-4,5;-4,3125;-3,1875;-5,4375;-4,4375;-5,25;-6,1875;-5,125;-4,625;-4,875;-6,5;-8,6875;-7;-8,1875;-9,6875;-8,25;-6,8125;-8,375;-9,6875
17:54:41 18.09.2020;-3,625;-5,4375;-5;-3,6875;-4;-4,625;-4,4375;-3,375;-5,625;-4,625;-5,4375;-6,3125;-5,3125;-4,6875;-4,9375;-6,5625;-8,625;-6,875;-7,625;-8,5625;-7,5625;-6,5;-7,5625;-7,5625
17:55:21 18.09.2020;-3,1875;-5,0625;-4;-2,625;-3,6875;-3,875;-3,9375;-2,5;-4,0625;-3,0625;-3,5;-3,875;-3,6875;-3,5;-3,5625;-3,625;-6,75;-4,6875;-5,125;-4,25;-5,625;-4,5;-5,8125;-3,9375
17:56:01 18.09.2020;-2,8125;-4,375;-3,0625;-1,875;-3,375;-3,5625;-3,25;-2;-3,1875;-2,25;-2,9375;-2,6875;-2,8125;-2,8125;-2,75;-2,6875;-5,25;-0,3125;-3,9375;0,0625;-4,4375;-0,875;-4,5625;0,0625
17:56:41 18.09.2020;-2,5625;-3,75;-2,5;-1,4375;-3,0625;-3,1875;-2,8125;-1,5625;-2,5;-1,125;-2,125;-1,8125;-2,0625;-1,6875;-1,875;-1,625;-2,8125;-0,1875;-2,5;-0,5;-2,5625;0,5625;-1,5;0,0625
17:57:21 18.09.2020;-2,0625;-3,125;-1,875;-0,5;-2,4375;-2,6875;-2,1875;-0,625;-2,3125;1,1875;-2,0625;-2,0625;-2,1875;-1,6875;-2,125;-2,1875;-1,375;-0,75;-2,75;-1,625;-0,75;4,1875;0,8125;2,125
17:58:01 18.09.2020;-1,625;-2,5625;-1,25;0,3125;-1,9375;-1,875;-1,625;0,125;-2,4375;0,25;-2,25;-2,25;-2,3125;-1,6875;-2,6875;-2,25;-1,1875;-1,4375;-3;-1,9375;-0,125;5;2,25;3,5
17:58:41 18.09.2020;-1,1875;-2;-0,75;0,875;-1,5625;-1,3125;-1,1875;0,5625;-2,1875;-0,5;-2,125;-2,0625;-2,0625;-1,75;-2,75;-1,75;-1,3125;-1,75;-2,875;-2;-0,25;5,125;3,0625;4,25
17:59:21 18.09.2020;-0,6875;-1,375;0,0625;1,9375;-0,9375;-0,25;-0,375;1,5625;-1,8125;-0,875;-1,9375;-1,4375;-1,5625;-1,75;-2,6875;-1,125;-1,1875;-1,8125;-2,5625;-1,6875;-0,1875;4,9375;3,5;4,5625
18:00:02 18.09.2020;-0,3125;-0,9375;0,3125;2,1875;-0,625;0;-0,0625;2;-1,8125;-1,25;-2;-1,5625;-1,5;-1,8125;-2,6875;-1,25;-1,5;-2,125;-2,875;-1,875;-0,75;4,625;3,625;4,6875
18:00:42 18.09.2020;0,1875;-0,4375;0,75;2,5;-0,1875;0,4375;0,375;2,375;-1,5625;-1,5625;-1,875;-1,3125;-0,9375;-1,875;-2,5625;-0,6875;-1,3125;-1,9375;-2,6875;-1,5;-0,875;4,1875;3,5625;4,625
18:01:22 18.09.2020;0,75;0,125;1,25;2,9375;0,1875;0,8125;0,75;2,5;-1,3125;-1,625;-1,8125;-1,4375;-0,9375;-1,875;-2,375;-1,5625;-1,5;-2,25;-2,875;-1,875;-1,3125;3,6875;3,3125;4,375
18:02:02 18.09.2020;1;0,25;1,5;3,125;0,5;1,1875;1;2,75;-1,25;-1,8125;-1,6875;-1,25;-0,875;-1,875;-2,375;-0,4375;-1,375;-2,125;-3;-1,5625;-1,25;3,1875;2,9375;4,0625
18:02:42 18.09.2020;1,5625;0,9375;2,25;3,9375;1,125;1,875;1,8125;3,625;-0,75;-1,5625;-1,3125;-0,75;-0,375;-1,6875;-2,125;-0,5625;-1,4375;-2,125;-2,75;-1,6875;-1,375;2,6875;2,6875;3,6875
18:03:22 18.09.2020;1,5625;1;1,9375;3,3125;1,125;1,625;1,625;3,0625;-1,1875;-1,75;-1,625;-1,3125;-1;-1,8125;-2,25;-1,25;-1,8125;-2,8125;-3,625;-2,25;-2,25;2,1875;2,25;3,3125
18:04:02 18.09.2020;1,4375;0,5625;1,3125;2,3125;0,875;1,125;1,1875;2,0625;-1,6875;-2;-2;-2,375;-1,75;-2;-2,5;-2,625;-2,1875;-3,25;-4,5625;-2,625;-3,1875;1,6875;1,8125;2,9375
18:04:42 18.09.2020;1;-0,3125;0,4375;1,25;0,375;0,4375;0,375;1,0625;;-2,25;-2,375;-3,1875;-2,375;-2,1875;-2,8125;-3,4375;-2,625;-3,875;-5,4375;-3,1875;-4,0625;1,0625;1,375;2,5
18:05:22 18.09.2020;0,6875;-1,25;-0,3125;0,3125;0;-0,3125;-0,4375;0,25;-2,875;-2,5;-2,75;-3,9375;-2,9375;-2,375;-3,125;-4,25;-3,0625;-4,125;-5,8125;-3,625;-4,875;0,4375;0,8125;2,0625
18:06:02 18.09.2020;0,25;-1,9375;-0,9375;-0,1875;-0,5;-1;-1;-0,3125;-3,4375;-2,8125;-3,1875;-4,5625;-3,5;-2,6875;-3,4375;-4,875;-3,4375;-4,5;-6,125;-4;-5,625;-0,25;0,3125;1,5625
18:06:42 18.09.2020;-0,1875;-2,4375;-1,5625;-0,6875;-0,875;-1,5625;-1,625;-0,75;-3,9375;-3;-3,625;-5,125;-3,9375;-2,9375;-3,6875;-5,5;-3,75;-4,75;-6,375;-4,3125;-6,3125;-0,875;-0,25;1,125
18:07:22 18.09.2020;-0,5625;-2,875;-2,125;-1,0625;-1,3125;-2,0625;-2,125;-1,125;-4,25;-3,25;-3,875;-5,375;-4,1875;-3,1875;-3,875;-5,625;-4;-5,1875;-7,125;-4,625;-6,875;-1,5;-0,8125;0,6875
18:08:02 18.09.2020;-1;-3,25;-2,5625;-1,5;-1,625;-2,5;-2,5625;-1,5625;-4,5;-3,4375;-4,1875;-5,5625;-4,5;-3,375;-4,125;-5,8125;-4,25;-5,4375;-7,4375;-4,875;-7,4375;-2,1875;-1,375;0,25
18:08:42 18.09.2020;-1,375;-3,5;-3;-1,75;-1,9375;-2,875;-3;-1,875;-4,6875;-3,5625;-4,4375;-5,6875;-4,625;-3,625;-4,25;-6;-4,375;-5,625;-7,6875;-5,0625;-7,9375;-2,8125;-1,875;-0,1875
